iter	Passed	Remaining
1478	18406	6484
1479	18418	6471
1480	18429	6458
1481	18442	6446
1482	18453	6433
1483	18465	6420
1484	18476	6407
1485	18488	6395
1486	18500	6382
1487	18512	6370
1488	18524	6357
1489	18536	6344
1490	18549	6332
1491	18553	6317
1492	18565	6304
1493	18576	6291
1494	18588	6279
1495	18594	6264
1496	18605	6251
1497	18617	6239
1498	18629	6226
1499	18641	6213
1500	18653	6201
1501	18664	6188
1502	18676	6175
1503	18688	6163
1504	18701	6151
1505	18714	6138
1506	18725	6125
1507	18737	6113
1508	18750	6100
1509	18761	6088
1510	18772	6075
1511	18784	6062
1512	18796	6050
1513	18807	6037
1514	18820	6025
1515	18832	6012
1516	18844	6000
1517	18857	5987
1518	18868	5974
1519	18881	5962
1520	18893	5949
1521	18898	5935
1522	18906	5921
1523	18918	5909
1524	18930	5896
1525	18942	5883
1526	18953	5871
1527	18965	5858
1528	18970	5843
1529	18982	5831
1530	18993	5818
1531	19004	5805
1532	19016	5792
1533	19027	5780
1534	19040	5767
1535	19052	5755
1536	19064	5742
1537	19075	5730
1538	19086	5717
1539	19098	5704
1540	19111	5692
1541	19123	5680
1542	19135	5667
1543	19147	5655
1544	19160	5642
1545	19172	5630
1546	19185	5617
1547	19197	5605
1548	19211	5593
1549	19224	5581
1550	19237	5569
1551	19250	5556
1552	19263	5544
1553	19276	5532
1554	19287	5519
1555	19300	5507
1556	19314	5495
1557	19327	5483
1558	19339	5470
1559	19352	5458
1560	19364	5445
1561	19376	5433
1562	19388	5420
1563	19399	5408
1564	19412	5395
1565	19423	5383
1566	19434	5370
1567	19446	5357
1568	19458	5345
1569	19470	5332
1570	19482	5320
1571	19494	5307
1572	19507	5295
1573	19519	5283
1574	19532	5270
1575	19544	5258
1576	19557	5245
1577	19569	5233
1578	19581	5220
1579	19593	5208
1580	19605	5195
1581	19616	5183
1582	19629	5170
1583	19641	5158
1584	19653	5145
1585	19665	5133
1586	19678	5121
1587	19691	5108
1588	19703	5096
1589	19716	5084
1590	19729	5071
1591	19735	5057
1592	19748	5045
1593	19761	5033
1594	19773	5020
1595	19785	5008
1596	19798	4996
1597	19810	4983
1598	19822	4971
1599	19834	4958
1600	19847	4946
1601	19856	4933
1602	19868	4920
1603	19880	4908
1604	19891	4895
1605	19904	4883
1606	19916	4870
1607	19928	4858
1608	19932	4843
1609	19944	4831
1610	19957	4818
1611	19969	4806
1612	19982	4794
1613	19995	4782
1614	20007	4769
